city,temperature_celsius,humidity,wind speed,datetime
Dubai,34.09,41,1.03,2024-06-18 02:00:03
Texas,31.99,48,7.2,2024-06-18 02:00:03
London,14.01,82,1.54,2024-06-18 02:00:04
Dubai,34.54,38,2.06,2024-06-18 03:05:09
Texas,30.07,54,6.69,2024-06-18 03:05:09
London,12.94,85,1.33,2024-06-18 03:05:09
Dubai,33.86,34,0.51,2024-06-18 04:00:04
Texas,29.04,61,8.23,2024-06-18 04:00:04
London,12.36,87,1.67,2024-06-18 04:00:04
Dubai,39.77,29,7.2,2024-06-18 14:20:33
Texas,23.01,94,4.63,2024-06-18 14:20:33
London,21.38,57,3.09,2024-06-18 14:20:33
Dubai,35.77,46,2.57,2024-06-18 19:00:03
Texas,29.04,58,7.2,2024-06-18 19:00:04
London,20.22,58,3.6,2024-06-18 19:00:08
Dubai,35.32,46,1.54,2024-06-18 21:05:36
Texas,31.84,45,9.77,2024-06-18 21:05:36
London,18.02,67,0.89,2024-06-18 21:05:37
Dubai,35.77,46,2.06,2024-06-18 22:00:03
Texas,32.72,43,9.26,2024-06-18 22:00:03
London,16.9,67,3.6,2024-06-18 22:00:03
Dubai,35.0,49,2.57,2024-06-18 23:00:03
Texas,31.84,45,8.23,2024-06-18 23:00:03
London,15.77,73,3.09,2024-06-18 23:00:18
Dubai,34.77,46,2.06,2024-06-19 00:00:03
Texas,32.13,45,6.69,2024-06-19 00:00:08
London,15.26,77,2.06,2024-06-19 00:00:08
Dubai,34.54,46,2.06,2024-06-19 01:00:03
Texas,31.1,48,7.72,2024-06-19 01:00:03
London,13.84,85,1.34,2024-06-19 01:00:03
Dubai,33.0,49,3.6,2024-06-19 02:00:02
Texas,30.07,51,7.2,2024-06-19 02:00:03
London,13.19,84,3.6,2024-06-19 02:00:03
Dubai,32.32,43,3.09,2024-06-19 03:00:12
Texas,29.04,54,3.6,2024-06-19 03:00:12
London,12.54,87,2.57,2024-06-19 03:00:13
Dubai,33.77,33,3.6,2024-06-19 04:00:03
Texas,28.01,57,7.72,2024-06-19 04:00:03
London,12.27,89,2.06,2024-06-19 04:00:28
Dubai,38.0,50,5.66,2024-06-19 15:00:04
Texas,23.01,83,4.12,2024-06-19 15:00:04
London,20.15,52,5.14,2024-06-19 15:00:05
Dubai,38.0,47,4.63,2024-06-19 16:00:03
Texas,23.89,78,3.6,2024-06-19 16:00:21
London,19.91,53,3.6,2024-06-19 16:00:21
Dubai,37.23,47,4.63,2024-06-19 17:00:03
Texas,25.66,69,4.12,2024-06-19 17:00:12
London,20.28,52,4.12,2024-06-19 17:00:12
Dubai,37.0,41,3.09,2024-06-19 18:00:03
Texas,26.1,69,5.66,2024-06-19 18:00:07
London,19.45,60,7.2,2024-06-19 18:00:07
Dubai,37.0,41,3.09,2024-06-19 19:00:03
Texas,25.96,73,5.66,2024-06-19 19:00:08
London,19.01,62,7.72,2024-06-19 19:00:08
Dubai,36.23,49,3.09,2024-06-19 20:00:03
Texas,26.84,65,5.14,2024-06-19 20:00:03
London,17.39,66,7.72,2024-06-19 20:00:03
Dubai,35.23,46,3.09,2024-06-19 21:00:02
Texas,27.57,61,6.69,2024-06-19 21:00:12
London,15.86,70,6.69,2024-06-19 21:00:16
Dubai,35.0,52,3.09,2024-06-19 22:00:03
Texas,26.1,78,3.6,2024-06-19 22:00:03
London,14.57,72,6.69,2024-06-19 22:00:03
Dubai,34.0,55,3.09,2024-06-19 23:00:03
Texas,27.27,61,6.17,2024-06-19 23:00:03
London,13.62,75,5.14,2024-06-19 23:00:03
Dubai,33.0,55,3.09,2024-06-20 01:00:03
Texas,25.81,65,8.23,2024-06-20 01:00:04
London,11.58,83,4.12,2024-06-20 01:00:04
Dubai,39.23,42,3.6,2024-06-20 12:00:03
Texas,21.54,94,3.09,2024-06-20 12:00:03
London,19.71,49,4.63,2024-06-20 12:00:03
Dubai,40.0,39,3.09,2024-06-20 13:00:03
